name,gameplayMain,gameplayMainExtra,gameplayCompletionist,imageUrl,id
ARK Survival Evolved,148,212,161,https://howlongtobeat.com/games/ARK_Survival_Evolved_header.jpg,26629
Minecraft,123,314,225,https://howlongtobeat.com/games/256px-Minecraft_1.1_Title.png,6064
NBA 2K20,101,0,0,https://howlongtobeat.com/games/68855_NBA_2K20.jfif,68855
Black Desert,72,0,0,https://howlongtobeat.com/games/Black_Desert_Online.jpg,30340
My Time At Portia,67,97.5,143,https://howlongtobeat.com/games/52787_My_Time_At_Portia.jpg,52787
DayZ,65.5,6,77,https://howlongtobeat.com/games/DayZ_Standalone_Logo.jpg,2290
The Bards Tale IV Directors Cut,56,59.5,81.5,https://howlongtobeat.com/games/69339_The_Bards_Tale_IV_Directors_Cut.jpg,69339
The Witcher 3 Wild Hunt,51,102,172,https://howlongtobeat.com/games/256px-TW3_Wild_Hunt_logo.png,10270
Age of Wonders Planetfall,48,0,0,https://howlongtobeat.com/games/59880_Age_of_Wonders_Planetfall.jpg,59880
Red Dead Redemption 2,47.5,77,163,https://howlongtobeat.com/games/27100_Red_Dead_Redemption_2.png,27100
Kingdom Come Deliverance,40.5,73.5,123,https://howlongtobeat.com/games/Kingdom-Come-Deliverance.jpg,21697
Wasteland 2,39.5,63.5,105,https://howlongtobeat.com/games/Wasteland2art.jpg,11099
Farming Simulator 17,37,150,486,https://howlongtobeat.com/games/40668_Farming_Simulator_17.jpg,40668
Age of Empires II Definitive Edition,34.5,100,196,https://howlongtobeat.com/games/68260_Age_of_Empires_II_Definitive_Edition.jfif,68260
Age of Empires II Definitive Edition,34.5,100,196,https://howlongtobeat.com/games/68260_Age_of_Empires_II_Definitive_Edition.jfif,68260
Phoenix Point,33.5,75.5,0,https://howlongtobeat.com/games/53702_Phoenix_Point.jpg,53702
MISTOVER,33.5,37.5,85,https://howlongtobeat.com/games/71153_MISTOVER.jpg,71153
CrossCode,32,48,78,https://howlongtobeat.com/games/crosscode_indie.png,24970
Yakuza 0,31,65,139,https://howlongtobeat.com/games/43056_Yakuza_0.jpg,43056
Battle Chasers Nightwar,29,41.5,64.5,https://howlongtobeat.com/games/Battle_Chasers_Nightwar_download.jpg,30017
Fallout New Vegas,27.5,59.5,128,https://howlongtobeat.com/games/Fallout_New_Vegas.jpg,3351
Subnautica,27.5,44,56.5,https://howlongtobeat.com/games/Subnautica_header.jpg,23740
Torment Tides of Numenera,26,33,48.5,https://howlongtobeat.com/games/TormentToNcover.jpg,10533
Payday 2 Crimewave Edition,24.5,90.5,0,https://howlongtobeat.com/games/44402_Payday_2_Crimewave_Edition.jpg,44402
The Bards Tale Trilogy,24,49,129,https://howlongtobeat.com/games/59950_The_Bards_Tale_Trilogy.jpg,59950
Ashes Cricket,23,0,37,https://howlongtobeat.com/games/60882_Ashes_Cricket.jpg,60882
Metal Gear Survive,22,32,49.5,https://howlongtobeat.com/games/40116_Metal_Gear_Survive.jpg,40116
The Surge 2,21.5,25.5,37.5,https://howlongtobeat.com/games/67880_The_Surge_2.jpg,67880
We Happy Few,21,42,75,https://howlongtobeat.com/games/We_Happy_Few_logo.jpg,27102
The Hunter Call of the Wild,20.5,90,130,https://howlongtobeat.com/games/43633_theHunter_Call_of_the_Wild.jpg,43633
Stellaris,20.5,46.5,62.5,https://howlongtobeat.com/games/37186_Stellaris.jpg,37186
Enter the Gungeon,20.5,46,159,https://howlongtobeat.com/games/35549_Enter_the_Gungeon.jpg,35549
Wargroove,20,38.5,73,https://howlongtobeat.com/games/61653_Wargroove.jpg,61653
Surviving Mars,18.5,44.5,146,https://howlongtobeat.com/games/45951_Surviving_Mars.jpg,45951
Viva Piata,18.5,32,51,https://howlongtobeat.com/games/250px-Viva_pinyata.jpg,10976
Alien Isolation,18.5,23,32,https://howlongtobeat.com/games/Alien_Isolation.jpg,16638
Rise of Nations Extended Edition,18,39,62.5,https://howlongtobeat.com/games/RiseofNationsExtendedEdition_292x136.jpg,19796
Yakuza Kiwami,18,33,84.5,https://howlongtobeat.com/games/39484_Ryu_ga_Gotoku_Kiwami.jpg,39484
The Long Dark,17.5,43.5,148,https://howlongtobeat.com/games/The_Long_Dark_header.jpg,21471
Grid 2,17.5,21,28.5,https://howlongtobeat.com/games/250px-Grid_2_box_artwork.png,4117
Mass Effect,17,28.5,44.5,https://howlongtobeat.com/games/Mass_Effect_poster.jpg,5698
Imperator Rome,17,0,120,https://howlongtobeat.com/games/59970_Imperator_Rome.jpg,59970
BanjoTooie,16,23,23.5,https://howlongtobeat.com/games/250px-Banjo-Tooie_Coverart.png,837
Disneyland Adventures,16,20,28.5,https://howlongtobeat.com/games/Disneyland_Adventures.jpg,4994
Spintires MudRunner,15.5,22,37,https://howlongtobeat.com/games/50209_Spintires_MudRunner.jpg,50209
The Talos Principle,15.5,20.5,27.5,https://howlongtobeat.com/games/TheTalosPrinciple.jpg,22530
Astroneer,15,37.5,56,https://howlongtobeat.com/games/42182_Astroneer.jpg,42182
Outer Wilds,15,20,22,https://howlongtobeat.com/games/57527_Outer_Wilds.jpg,57527
Metro Exodus,14.5,22.5,36,https://howlongtobeat.com/games/46401_Metro_Exodus.jpg,46401
Worms WMD,14.5,17,24.5,https://howlongtobeat.com/games/39481_Worms_WMD.jpg,39481
Mega Man Legacy Collection 2,14.5,0,0,https://howlongtobeat.com/games/48058_Mega_Man_Legacy_Collection_2.jpg,48058
Moonlighter,14,20,25.5,https://howlongtobeat.com/games/56787_Moonlighter.jpg,56787
Zoo Tycoon Ultimate Animal Collection,14,15,82,https://howlongtobeat.com/games/52069_Zoo_Tycoon_Ultimate_Animal_Collection.jpg,52069
Remnant From the Ashes,13.5,19.5,47,https://howlongtobeat.com/games/68318_Remnant_From_the_Ashes.jpg,68318
Children of Morta,13.5,16,28.5,https://howlongtobeat.com/games/Children-of-Morta.jpg,22534
The Walking Dead  A Telltale Games Series,13.5,0,0,https://howlongtobeat.com/games/The_Walking_Dead-game-cover.jpg,10250
Dead Cells,13,26,84.5,https://howlongtobeat.com/games/45727_Dead_Cells.jpg,45727
Mutant Year Zero Road to Eden,13,17,21.5,https://howlongtobeat.com/games/62811_Mutant_Year_Zero_Road_to_Eden.jpg,62811
FTL Faster Than Light,12,29.5,116,https://howlongtobeat.com/games/FTL_Faster_Than_Light_Logo.jpg,3738
The Outer Worlds,12,24,35,https://howlongtobeat.com/games/62935_The_Outer_Worlds.jpg,62935
Doom 2016,11.5,16,25.5,https://howlongtobeat.com/games/doom_2016.jpg,2708
Slay the Spire,11,41,227,https://howlongtobeat.com/games/51390_Slay_the_Spire.jpg,51390
Ori and the Will of the Wisps,11,14.5,17,https://howlongtobeat.com/games/46428_Ori_and_the_Will_of_the_Wisps.jpg,46428
BanjoKazooie,11,14.5,15,https://howlongtobeat.com/games/250px-BanjoKazooieCover500px.jpg,834
The Banner Saga,10.5,13.5,26.5,https://howlongtobeat.com/games/The_Banner_Saga.jpg,9769
Gears 5,10.5,13.5,18,https://howlongtobeat.com/games/57422_Gears_5.jpg,57422
Frostpunk,10,20.5,40.5,https://howlongtobeat.com/games/41585_Frostpunk.jpg,41585
Sunset Overdrive,10,18.5,33.5,https://howlongtobeat.com/games/Sunset_Overdrive_cover.jpg,21278
Rage 2,10,18,29.5,https://howlongtobeat.com/games/58031_Rage_2.jpg,58031
Sniper Elite 4,10,16,35.5,https://howlongtobeat.com/games/40715_Sniper_Elite_4.jpg,40715
Metro Last Light Redux,10,13.5,26,https://howlongtobeat.com/games/MetroLastLightRedux_292x136.jpg,20883
Gears of War 2,10,12.5,62,https://howlongtobeat.com/games/256px-Gow2_offbox.jpg,3863
For The King,9.5,32,86,https://howlongtobeat.com/games/45024_For_The_King.jpg,45024
Hello Neighbor,9.5,17.5,21,https://howlongtobeat.com/games/40794_Hello_Neighbor.jpg,40794
Gears of War 3,9.5,12.5,19,https://howlongtobeat.com/games/250px-Gears_of_War_3_box_artwork.png,3865
Deaths Gambit,9.5,11.5,13.5,https://howlongtobeat.com/games/Deaths_Gambit_header.jpg,25040
LEGO Star Wars III The Clone Wars,9,15,30.5,https://howlongtobeat.com/games/Lego_Star_Wars_III_-_The_Clone_Wars_Coverart.png,5262
Wolfenstein Youngblood,9,14.5,29,https://howlongtobeat.com/games/57504_Wolfenstein_Youngblood.jpeg,57504
The Flame in the Flood,9,14,22.5,https://howlongtobeat.com/games/The_Flame_in_the_Flood_header.jpg,29911
The Banner Saga 3,9,13,19.5,https://howlongtobeat.com/games/54142_The_Banner_Saga_3.jpg,54142
Gears of War,9,11.5,25.5,https://howlongtobeat.com/games/256px-Gears_of_War.png,3862
Metro 2033 Redux,9,11.5,22.5,https://howlongtobeat.com/games/Metro2033Redux_292x136.jpg,20737
Gears of War 4,9,11.5,14,https://howlongtobeat.com/games/Gears_of_War_4.jpg,26788
Gears of War Ultimate Edition,9,11,17,https://howlongtobeat.com/games/Gears_of_War_Ultimate_Edition.jpg,26794
Unavowed,9,10.5,16,https://howlongtobeat.com/games/54219_Unavowed.jpg,54219
Wandersong,9,10.5,11,https://howlongtobeat.com/games/61375_Wandersong.jpg,61375
Giana Sisters Twisted Dreams  Directors Cut,9,0,0,https://howlongtobeat.com/games/47376_Giana_Sisters_Twisted_Dreams_-_Directors_Cut.jpeg,47376
Void Bastards,8.5,12,17,https://howlongtobeat.com/games/67475_Void_Bastards.jpg,67475
Ori and the Blind Forest Definitive Edition,8.5,10.5,12,https://howlongtobeat.com/games/36755_Ori_and_the_Blind_Forest_Definitive_Edition.jpg,36755
Stranger Things 3 The Game,8.5,9.5,13.5,https://howlongtobeat.com/games/68766_Stranger_Things_3_The_Game.png,68766
Halo Wars 2,8,12.5,20.5,https://howlongtobeat.com/games/37985_Halo_Wars_2.jpg,37985
Halo 5 Guardians,8,12,22.5,https://howlongtobeat.com/games/Halo_5_Guardians.png,19267
Perfect Dark Zero,8,11.5,20,https://howlongtobeat.com/games/250px-Perfect_Dark_Zero_Coverart.png,6967
Shadow Warrior 2,7.5,15.5,22.5,https://howlongtobeat.com/games/39740_Shadow_Warrior_2.jpg,39740
de Blob,7.5,12,19,https://howlongtobeat.com/games/De-Blob-US.jpg,2295
West of Loathing,7.5,12,17,https://howlongtobeat.com/games/48134_West_of_Loathing.jpg,48134
Alvastia Chronicles,7.5,10.5,0,https://howlongtobeat.com/games/67659_Alvastia_Chronicles.jpg,67659
World War Z 2019,7,11,18.5,https://howlongtobeat.com/games/64828_World_War_Z.jpg,64828
Journey to the Savage Planet,7,10.5,16,https://howlongtobeat.com/games/68368_Journey_to_the_Savage_Planet.jpg,68368
Gears of War Judgment,7,8.5,9.5,https://howlongtobeat.com/games/Gears_of_War-_Judgment_cover.jpg,3867
Undertale,6.5,10.5,20.5,https://howlongtobeat.com/games/Undertale_header.jpg,30385
Overcooked 2,6.5,10,12,https://howlongtobeat.com/games/57518_Overcooked_2.jpeg,57518
Wizard of Legend,6,15.5,23,https://howlongtobeat.com/games/26294_Wizard_of_legend.jpg,26294
Human Fall Flat,6,10,20.5,https://howlongtobeat.com/games/38887_Human_Fall_Flat.jpg,38887
Super Luckys Tale,6,8.5,10.5,https://howlongtobeat.com/games/46426_Super_Luckys_Tale.jpg,46426
Yokus Island Express,6,8,11,https://howlongtobeat.com/games/56962_Yokus_Island_Express.jpg,56962
Death Squared,6,7,9,https://howlongtobeat.com/games/47424_Death_Squared.jpg,47424
Timespinner,5.5,8,12.5,https://howlongtobeat.com/games/Timespinner_header.jpg,26279
Absolver,5.5,7,10,https://howlongtobeat.com/games/38126_Absolver.jpg,38126
Kona,5.5,7,9.5,https://howlongtobeat.com/games/20888_Kona.jpg,20888
Snake Pass,5,9,12,https://howlongtobeat.com/games/44371_Snake_Pass.jpg,44371
Neon Chrome,5,8.5,15,https://howlongtobeat.com/games/37563_Neon_Chrome.jpg,37563
Astrologaster,5,7.5,12,https://howlongtobeat.com/games/67977_Astrologaster.jpg,67977
Deliver Us The Moon,5,6,6.5,https://howlongtobeat.com/games/71372_Deliver_Us_The_Moon.jpg,71372
Machinarium,5,5.5,6,https://howlongtobeat.com/games/Machinarium-cover_art.png,5478
Levelhead,5,0,41,https://howlongtobeat.com/games/76093_Levelhead.jpg,76093
Moving Out,4.5,8.5,14.5,https://howlongtobeat.com/games/75031_Moving_Out.jpg,75031
Oxenfree,4.5,5.5,12.5,https://howlongtobeat.com/games/Oxenfree_header.jpg,33620
Riverbond,4.5,5,5.5,https://howlongtobeat.com/games/67076_Riverbond.jpg,67076
Sea Salt,4.5,4.5,0,https://howlongtobeat.com/games/72036_Sea_Salt.jpg,72036
Jetpac Refuelled,4.5,0,0,https://howlongtobeat.com/games/Jetpacrefulledcover.png,21825
Descenders,4,12,0,https://howlongtobeat.com/games/55598_Descenders.jpg,55598
Panzer Dragoon Orta,4,8.5,18.5,https://howlongtobeat.com/games/256px-Panzercover.jpg,6902
Halo Spartan Assault,4,5.5,14,https://howlongtobeat.com/games/Halo-spartan-assault-boxart.png,4272
Creature in the Well,4,5,6.5,https://howlongtobeat.com/games/68145_Creature_in_the_Well.jpg,68145
My Friend Pedro,4,5,6.5,https://howlongtobeat.com/games/57520_My_Friend_Pedro.jpg,57520
Clustertruck,3.5,5,8,https://howlongtobeat.com/games/40215_Clustertruck.jpg,40215
Streets of Rage 4,3,5.5,16,https://howlongtobeat.com/games/76482_Streets_of_Rage_4.jpg,76482
Untitled Goose Game,3,4,5,https://howlongtobeat.com/games/66086_Untitled_Goose_Game.jpg,66086
Gato Roboto,3,4,4,https://howlongtobeat.com/games/67569_Gato_Roboto.jpg,67569
Pikuniku,3,3.5,5,https://howlongtobeat.com/games/64060_Pikuniku.jpg,64060
SUPERHOT,2.5,4.5,20,https://howlongtobeat.com/games/superhot-splash-logoless.jpg,21723
Hydro Thunder,2.5,4.5,6.5,https://howlongtobeat.com/games/256px-Hydro_Thunder_DC_cover.jpg,4557
The Gardens Between,2.5,2.5,2.5,https://howlongtobeat.com/games/56088_The_Gardens_Between.jpg,56088
Reigns Game of Thrones,2,8,11,https://howlongtobeat.com/games/61971_Reigns_Game_of_Thrones.jpg,61971
Power Rangers Battle for the Grid,2,6,0,https://howlongtobeat.com/games/65929_Power_Rangers_Battle_for_the_Grid.jpeg,65929
Goat Simulator,2,5.5,9,https://howlongtobeat.com/games/Goat_Simulator.jpg,17536
Westerado Double Barreled,2,4.5,13,https://howlongtobeat.com/games/Westerado_Double_Barreled_header.jpg,25901
HyperDot,2,4,7,https://howlongtobeat.com/games/77188_HyperDot.jpg,77188
What Remains of Edith Finch,2,2.5,3,https://howlongtobeat.com/games/45392_What_Remains_of_Edith_Finch.jpg,45392
Old Mans Journey,1.5,1.5,1.5,https://howlongtobeat.com/games/45957_Old_Mans_Journey.jpg,45957
Totally Reliable Delivery Service,1,10,0,https://howlongtobeat.com/games/69333_Totally_Reliable_Delivery_Service.jpg,69333
Ticket to Ride,1,2,8.5,https://howlongtobeat.com/games/Tickettoride_logo.jpg,10330
Tracks  The Train Set Game,1,1.5,1.5,https://howlongtobeat.com/games/53231_Tracks_-_The_Train_Set_Game.jpg,53231
Pandemic The Board Game,1,0,25,https://howlongtobeat.com/games/47069_Pandemic_The_Board_Game.jpg,47069
Football Manager 2020,0,580,736,https://howlongtobeat.com/games/72042_Football_Manager_2020.jpg,72042
MechWarrior 5 Mercenaries,0,46.5,60,https://howlongtobeat.com/games/67949_Mechwarrior_5.jpg,67949
Vambrace Cold Soul,0,19,0,https://howlongtobeat.com/games/67877_Vambrace_Cold_Soul.jpg,67877
Wasteland Remastered,0,18.5,0,https://howlongtobeat.com/games/74755_Wasteland_Remastered.jpg,74755
Supermarket Shriek,0,6.5,0,https://howlongtobeat.com/games/68137_Supermarket_Shriek.jpeg,68137
PlayerUnknowns Battlegrounds,0,0,133,https://howlongtobeat.com/games/44704_PlayerUnknowns_Battlegrounds.jpg,44704
Faeria,0,0,115,https://howlongtobeat.com/games/35873_Faeria.jpg,35873
Space Hulk Tactics,0,0,21,https://howlongtobeat.com/games/63044_Space_Hulk_Tactics.jpg,63044
Bleeding Edge,0,0,6.5,https://howlongtobeat.com/games/68093_Bleeding_Edge.jpg,68093
Secret Neighbor,0,0,3,https://howlongtobeat.com/games/69815_Secret_Neighbor.jpg,69815
IDARB,0,0,2.5,https://howlongtobeat.com/games/IDARB.jpg,23224
The Jackbox Party Pack 3,0,0,2.5,https://howlongtobeat.com/games/40718_The_Jackbox_Party_Pack_3.jpg,40718
Gears Tactics - Windows 10,,,,,
Fishing Sim World®: Pro Tour,,,,,
F1® 2018,,,,,
Fuzion Frenzy®,,,,,
Dead by Daylight: Special Edition,,,,,
Bad North: Jotunn Edition,,,,,
GoNNER - BLüEBERRY EDiTION,,,,,
A Plague Tale: Innocence - Windows 10,,,,,
Forza Horizon 4 Standard Edition,,,,,
EVERSPACE™,,,,,
Frostpunk: Console Edition,,,,,
ACE COMBAT™ 7: SKIES UNKNOWN,,,,,
Deliver Us The Moon.,,,,,
DEMON'S TILT,,,,,
Europa Universalis IV - Microsoft Store Edition,,,,,
Halo Wars: Definitive Edition (PC),,,,,
Hearts of Iron IV: Cadet Edition,,,,,
Hollow Knight: Voidheart Edition,,,,,
Middle-earth™: Shadow of War™,,,,,
Halo Wars 2: Standard Edition,,,,,
Lonely Mountains: Downhill,,,,,
The Walking Dead: A New Frontier - The Complete Season (Episodes 1-5),,,,,
Pillars of Eternity: Hero Edition,,,,,
Pikuniku Win10,,,,,
NieR:Automata™ BECOME AS GODS Edition,,,,,
The Walking Dead: Michonne - The Complete Season,,,,,
Stellaris: Console Edition,,,,,
Rush: A DisneyPixar Adventure,,,,,
Rocket League®,,,,,
"The Walking Dead: Michonne - Ep. 3, What We Deserve",,,,,
The Lord of the Rings: Adventure Card Game - Definitive Edition,,,,,
The LEGO® NINJAGO® Movie Video Game,,,,,
The Walking Dead: Season Two,,,,,
The Surge 2 - Windows 10,,,,,
Totally Accurate Battle Simulator (Game Preview),,,,,
The Turing Test,,,,,
Train Sim World® 2020,,,,,
Yakuza Kiwami for Windows 10,,,,,
WORLD OF HORROR (Game Preview),,,,,
Viva Piñata: TIP,,,,,
Wasteland 2: Director's Cut for Windows 10,,,,,
"The Walking Dead: Michonne - Ep. 2, Give No Shelter",,,,,
Two Point Hospital™,,,,,
Wasteland 3 (PC),,,,,
Wasteland 3 (Xbox One),,,,,
Wolfenstein® II: The New Colossus™,,,,,
Yooka-Laylee,,,,,
